N;Metodo;Iteracoes;Tempo(s);Erro Maximo;;;;;;
4;Newton-LU;6;0,001976;0,033412228;;;;;;
4;Newton-BCG;6;0,003;0,033412228;;;;;;
4;Broyden;10;0,001996;0,033412227;;;;;;
8;Newton-LU;6;0,011988;0,011751364;;;;;;
8;Newton-BCG;6;0,005758;0,011751364;;;;;;
8;Broyden;17;0,021997;0,011751364;;;;;;
16;Newton-LU;6;0,102323;0,003417737;;;;;;
16;Newton-BCG;6;0,027005;0,003417737;;;;;;
16;Broyden;23;0,357295;0,003417737;;;;;;
32;Newton-LU;6;17,179323;0,000916316;;;;;;
32;Newton-BCG;6;0,401728;0,000916316;;;;;;
32;Broyden;26;66,250344;0,000916316;;;;;;
;;;;;;;;;;
Ordem de convergencia (Newton-LU);;;;;;;;;;
De;Para;p;;;;;;;;
N=4;N=8;1,7778;;;;;;;;
N=8;N=16;1,9418;;;;;;;;
N=16;N=32;1,9846;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
